Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5430,5820,390,0.1,2440,4020,6850,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3011,Radio and Television Announcers,1700,1690,-10,-0.0,700,1260,1950,28.17,58592.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3022,Reporters and Correspondents,1560,1630,70,0.0,550,1410,2030,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3031,Public Relations Specialists,8220,8920,700,0.1,2530,6370,9610,31.75,66050.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3041,Editors,5940,6120,190,0.0,1830,4750,6770,33.52,69715.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3042,Technical Writers,1100,1210,110,0.1,360,760,1230,43.93,91374.00,Bachelor's degree,Less than 5 years,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3043,Writers and Authors,11700,12350,650,0.1,5130,7400,13180,48.89,101700.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3091,Interpreters and Translators,3260,3940,670,0.2,1600,2010,4290,27.82,57880.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-3099,"Media and Communication Workers, All Other",8650,9620,970,0.1,4060,5110,10140,27.36,56920.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4011,Audio and Video Equipment Technicians,8850,10220,1380,0.2,3140,7020,11540,32.58,67754.00,Postsecondary non-degree award,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4014,Sound Engineering Technicians,3700,3990,290,0.1,1270,2830,4390,30.27,62970.00,Postsecondary non-degree award,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4021,Photographers,7840,7650,-200,-0.0,2970,4700,7470,30.11,62617.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4031,"Camera Operators, Television, Video, and Motion Picture",5310,6330,1020,0.2,1540,4150,6700,32.50,67585.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4032,Film and Video Editors,14780,17400,2620,0.2,4250,11460,18330,45.35,94338.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,27-4099,"Media and Communication Equipment Workers, All Other",8660,9490,830,0.1,2990,6680,10500,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1011,Chiropractors,1080,1150,70,0.1,200,100,370,32.15,66869.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1021,"Dentists, General",5410,5950,540,0.1,1230,490,2260,59.05,122838.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1031,Dietitians and Nutritionists,2360,2730,380,0.2,830,770,1970,39.93,83065.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1041,Optometrists,1010,1120,110,0.1,200,120,420,61.18,127242.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1051,Pharmacists,7460,7850,390,0.1,1810,1630,3830,70.09,145793.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1061,Anesthesiologists,1230,1260,30,0.0,200,160,400,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1062,Family and General Practitioners,3660,4060,400,0.1,630,490,1530,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1063,"Internists, General",1160,1180,20,0.0,190,150,360,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1064,Obstetricians and Gynecologists,690,750,60,0.1,120,90,270,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1065,"Pediatricians, General",810,840,30,0.0,140,110,270,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1066,Psychiatrists,880,960,80,0.1,150,120,350,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1067,Surgeons,1090,1080,-10,-0.0,180,140,310,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1069,"Physicians and Surgeons, All Other",8580,9340,760,0.1,1470,1150,3380,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1071,Physician Assistants,2030,2710,690,0.3,360,980,2030,63.35,131757.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1081,Podiatrists,250,270,20,0.1,60,90,160,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1122,Occupational Therapists,2330,2720,390,0.2,560,850,1810,53.34,110939.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1123,Physical Therapists,6460,7730,1270,0.2,1300,1660,4230,55.24,114896.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1124,Radiation Therapists,220,250,30,0.1,40,80,140,59.92,124642.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1125,Recreational Therapists,360,380,20,0.1,80,100,200,36.93,76834.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1126,Respiratory Therapists,4990,6290,1300,0.3,1550,1430,4280,41.09,85452.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1127,Speech-Language Pathologists,3830,4970,1140,0.3,860,1480,3490,44.95,93504.00,Master's degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1128,Exercise Physiologists,190,210,20,0.1,50,60,130,38.11,79260.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1131,Veterinarians,1310,1570,260,0.2,270,280,810,50.39,104816.00,Doctoral or professional degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1141,Registered Nurses,81610,94000,12390,0.2,24370,22520,59280,55.52,115497.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1151,Nurse Anesthetists,430,540,110,0.3,80,160,350,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1161,Nurse Midwives,170,200,30,0.2,40,60,130,92.69,192803.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1171,Nurse Practitioners,3290,4330,1040,0.3,750,1280,3070,68.05,141561.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-1199,"Health Diagnosing and Treating Practitioners, All Other",2190,2610,410,0.2,680,430,1530,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2010,Clinical Laboratory Technologists and Technicians,8500,9870,1370,0.2,2530,3260,7150,27.27,56736.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2021,Dental Hygienists,4620,5250,630,0.1,2060,1250,3940,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2031,Cardiovascular Technologists and Technicians,1310,1450,140,0.1,340,420,900,36.23,75355.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2032,Diagnostic Medical Sonographers,1640,2050,420,0.3,450,560,1430,48.25,100364.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2033,Nuclear Medicine Technologists,390,430,50,0.1,100,120,270,57.84,120301.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2034,Radiologic Technologists,4540,5180,640,0.1,1200,1470,3300,44.45,92465.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2035,Magnetic Resonance Imaging Technologists,690,790,100,0.1,180,220,510,51.24,106573.00,Associate's degree,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2041,Emergency Medical Technicians and Paramedics,4300,4690,390,0.1,800,2190,3380,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2051,Dietetic Technicians,1350,1510,170,0.1,410,740,1320,16.84,35031.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2052,Pharmacy Technicians,10360,11860,1500,0.1,3210,5750,10450,21.89,45514.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2053,Psychiatric Technicians,1390,1550,160,0.1,430,760,1340,26.65,55432.00,Postsecondary non-degree award,Less than 5 years,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2054,Respiratory Therapy Technicians,90,40,-50,-0.6,20,30,0,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2055,Surgical Technologists,2410,2700,290,0.1,740,1320,2350,29.59,61538.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2056,Veterinary Technologists and Technicians,1760,2130,370,0.2,560,1010,1940,23.83,49579.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2057,Ophthalmic Medical Technicians,320,400,80,0.2,100,190,360,18.11,37664.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2061,Licensed Practical and Licensed Vocational Nurses,18960,21600,2630,0.1,6880,8570,18080,30.05,62500.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2071,Medical Records and Health Information Technicians,6350,7120,770,0.1,1980,2300,5050,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2081,"Opticians, Dispensing",1810,1970,170,0.1,740,750,1660,24.53,51021.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2091,Orthotists and Prosthetists,120,150,20,0.2,40,60,120,45.75,95160.00,Master's degree,None,Internship/residency
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2092,Hearing Aid Specialists,100,110,20,0.2,30,40,90,23.03,47892.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,29-2099,"Health Technologists and Technicians, All Other",6210,7430,1220,0.2,1850,2770,5840,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-9011,Occupational Health and Safety Specialists,1720,1890,160,0.1,410,600,1180,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-9091,Athletic Trainers,540,700,170,0.3,140,210,510,0.00,60993.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,29-9099,"Healthcare Practitioners and Technical Workers, All Other",1350,1530,180,0.1,330,480,990,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-1011,Home Health Aides,8020,10030,2010,0.3,4850,5260,12130,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-1013,Psychiatric Aides,560,610,50,0.1,320,340,710,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-1014,Nursing Assistants,34730,39530,4790,0.1,19960,21650,46410,0.00,0.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-1015,Orderlies,1460,1600,140,0.1,820,890,1860,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-2011,Occupational Therapy Assistants,400,530,130,0.3,200,300,630,35.26,73338.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-2012,Occupational Therapy Aides,120,140,20,0.2,60,90,160,18.51,38503.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-2021,Physical Therapist Assistants,1330,1700,370,0.3,650,1230,2240,38.06,79164.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-2022,Physical Therapist Aides,1680,2080,400,0.2,810,1520,2730,15.62,32491.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9011,Massage Therapists,6270,7670,1400,0.2,4360,3760,9520,15.88,33039.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9091,Dental Assistants,12600,14370,1770,0.1,6240,8860,16880,20.04,41693.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9092,Medical Assistants,24200,29980,5780,0.2,10580,19270,35620,18.20,37849.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9093,Medical Equipment Preparers,1670,1860,190,0.1,870,1140,2200,25.00,51986.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9094,Medical Transcriptionists,1770,1770,0,-0.0,1070,1390,2460,29.41,61181.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9095,Pharmacy Aides,2300,2200,-100,-0.0,1090,1770,2760,18.53,38539.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,1690,2030,340,0.2,1010,1990,3340,16.53,34398.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9097,Phlebotomists,3220,3920,700,0.2,1330,2440,4470,21.93,45611.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,31-9099,"Healthcare Support Workers, All Other",2890,3190,300,0.1,1500,1960,3760,23.68,49246.00,High school diploma or equivalent,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,33-1011,First-Line Supervisors of Correctional Officers,180,160,-20,-0.1,50,70,100,50.90,105886.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,33-1012,First-Line Supervisors of Police and Detectives,1720,1810,90,0.0,430,660,1180,83.17,172996.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,430,460,30,0.1,110,170,310,94.37,196291.00,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",2970,3300,330,0.1,1130,1860,3320,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,33-2011,Firefighters,7690,8140,450,0.1,1430,3960,5830,47.79,99391.00,Postsecondary non-degree award,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-2021,Fire Inspectors and Investigators,200,210,10,0.0,90,110,200,72.10,149958.00,Postsecondary non-degree award,5 years or more,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-2022,Forest Fire Inspectors and Prevention Specialists,30,40,10,0.3,10,20,40,41.67,86673.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-3012,Correctional Officers and Jailers,1550,1430,-120,-0.1,570,750,1190,34.08,70898.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-3021,Detectives and Criminal Investigators,3260,3410,150,0.0,710,1440,2300,67.21,139796.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-3041,Parking Enforcement Workers,280,180,-100,-0.4,50,110,70,26.71,55538.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-3051,Police and Sheriff's Patrol Officers,25500,26900,1400,0.1,6300,12080,19780,57.85,120344.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9011,Animal Control Workers,380,420,40,0.1,170,210,410,31.06,64604.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9021,Private Detectives and Investigators,510,530,20,0.0,180,280,480,40.73,84714.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9031,Gaming Surveillance Officers and Gaming Investigators,190,230,40,0.2,110,170,310,20.77,43206.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9032,Security Guards,53530,60440,6910,0.1,29070,44270,80250,15.86,32993.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9091,Crossing Guards,1630,1740,110,0.1,1980,780,2870,18.70,38890.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",4720,5110,390,0.1,6460,5400,12250,19.11,39763.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9093,Transportation Security Screeners,2680,2900,220,0.1,1160,1470,2850,22.73,47271.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,33-9099,"Protective Service Workers, All Other",5620,6150,540,0.1,7740,6460,14740,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-1011,Chefs and Head Cooks,6160,7180,1020,0.2,2010,6710,9740,25.42,52877.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Los Angeles Basin,2018-2028,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,24250,28140,3890,0.2,11410,28570,43870,19.16,39858.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,35-2011,"Cooks, Fast Food",31940,30740,-1200,-0.0,16630,27700,43130,15.08,31363.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-2012,"Cooks, Institution and Cafeteria",6840,7640,800,0.1,3840,6400,11050,18.60,38687.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-2014,"Cooks, Restaurant",46340,59240,12900,0.3,28020,46650,87580,15.90,33076.00,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-2015,"Cooks, Short Order",3410,3580,170,0.0,1860,3090,5110,15.58,32406.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-2021,Food Preparation Workers,27780,31440,3660,0.1,21700,29510,54870,15.05,31299.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-3011,Bartenders,16470,18540,2080,0.1,8180,22610,32870,14.88,30948.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",100600,123040,22430,0.2,89160,109970,221550,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",11880,12660,780,0.1,13820,12810,27410,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-3031,Waiters and Waitresses,76440,84850,8410,0.1,55970,98830,163200,15.34,31919.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-3041,"Food Servers, Nonrestaurant",5790,6380,590,0.1,4480,5030,10090,16.14,33575.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,21870,25270,3410,0.2,19420,20850,43680,15.07,31348.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-9021,Dishwashers,21930,23520,1590,0.1,16920,19160,37660,15.04,31295.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",14270,16600,2330,0.2,17240,18120,37680,15.31,31845.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,35-9099,"Food Preparation and Serving Related Workers, All Other",3830,4400,570,0.1,3390,3640,7590,14.83,30853.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,5300,5800,500,0.1,2330,3970,6790,24.58,51120.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3560,3920,370,0.1,1290,2780,4430,29.96,62308.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",62350,67990,5630,0.1,39850,45970,91460,16.24,33777.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-2012,Maids and Housekeeping Cleaners,33090,33780,690,0.0,23660,21360,45710,16.13,33553.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-3011,Landscaping and Groundskeeping Workers,23570,25960,2390,0.1,10140,21930,34460,18.47,38408.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660,720,60,0.1,280,610,950,29.72,61816.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-3013,Tree Trimmers and Pruners,2640,2930,280,0.1,1140,2460,3890,25.68,53408.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,37-3019,"Grounds Maintenance Workers, All Other",160,170,10,0.0,70,150,220,32.41,67413.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-1010,First-Line Supervisors of Gaming Workers,550,680,130,0.2,280,710,1120,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-1021,First-Line Supervisors of Personal Service Workers,13060,15940,2880,0.2,5820,8230,16930,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-2011,Animal Trainers,1240,1450,210,0.2,750,1200,2170,23.91,49734.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-2021,Nonfarm Animal Caretakers,7840,9280,1430,0.2,5950,7920,15300,15.52,32273.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3011,Gaming Dealers,3600,4380,790,0.2,2430,3750,6970,14.52,30197.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3012,Gaming and Sports Book Writers and Runners,970,1080,100,0.1,620,960,1690,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3019,"Gaming Service Workers, All Other",410,480,70,0.2,270,420,750,14.88,30938.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",4530,4700,170,0.0,6040,5200,11400,16.19,33676.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3091,Amusement and Recreation Attendants,12360,13670,1310,0.1,13840,16130,31280,15.40,32035.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3092,Costume Attendants,620,680,60,0.1,690,810,1550,17.77,36953.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",1000,1070,70,0.1,1100,1290,2460,17.92,37279.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-4011,Embalmers,150,160,10,0.1,140,100,260,24.88,51752.00,Associate's degree,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-4021,Funeral Attendants,700,810,100,0.1,710,500,1320,20.54,42729.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-4031,"Morticians, Undertakers, and Funeral Directors",290,330,40,0.1,160,210,410,21.90,45543.00,Associate's degree,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",15840,17690,1850,0.1,10170,10710,22730,15.31,31849.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-5091,"Makeup Artists, Theatrical and Performance",2270,2490,220,0.1,1320,1390,2930,60.32,125455.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-5092,Manicurists and Pedicurists,9310,10490,1170,0.1,5490,5800,12470,15.07,31355.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-5094,Skincare Specialists,2280,2570,290,0.1,1340,1420,3060,16.21,33727.00,Postsecondary non-degree award,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,39-6011,Baggage Porters and Bellhops,2100,2360,270,0.1,1160,2020,3440,16.62,34565.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-6012,Concierges,700,750,40,0.1,380,660,1080,20.59,42825.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-7010,Tour and Travel Guides,2170,2320,150,0.1,1730,2200,4080,18.61,38721.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9011,Childcare Workers,29510,30940,1430,0.0,22350,22740,46520,15.56,32355.00,High school diploma or equivalent,None,Short-term on-the-job training
