O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
15-1132.00,"Software Developers, Applications",15-1142.00,Network and Computer Systems Administrators,9
15-1132.00,"Software Developers, Applications",15-1122.00,Information Security Analysts,10
15-1133.00,"Software Developers, Systems Software",15-1121.00,Computer Systems Analysts,1
15-1133.00,"Software Developers, Systems Software",15-1199.02,Computer Systems Engineers/Architects,2
15-1133.00,"Software Developers, Systems Software",15-1141.00,Database Administrators,3
15-1133.00,"Software Developers, Systems Software",15-1132.00,"Software Developers, Applications",4
15-1133.00,"Software Developers, Systems Software",15-1199.01,Software Quality Assurance Engineers and Testers,5
15-1133.00,"Software Developers, Systems Software",15-1143.00,Computer Network Architects,6
15-1133.00,"Software Developers, Systems Software",15-1131.00,Computer Programmers,7
15-1133.00,"Software Developers, Systems Software",15-1134.00,Web Developers,8
15-1133.00,"Software Developers, Systems Software",15-1122.00,Information Security Analysts,9
15-1133.00,"Software Developers, Systems Software",15-1199.05,Geographic Information Systems Technicians,10
15-1134.00,Web Developers,15-1199.03,Web Administrators,1
15-1134.00,Web Developers,15-1133.00,"Software Developers, Systems Software",2
15-1134.00,Web Developers,15-1141.00,Database Administrators,3
15-1134.00,Web Developers,15-1121.00,Computer Systems Analysts,4
15-1134.00,Web Developers,15-1199.01,Software Quality Assurance Engineers and Testers,5
15-1134.00,Web Developers,43-9031.00,Desktop Publishers,6
15-1134.00,Web Developers,15-1132.00,"Software Developers, Applications",7
15-1134.00,Web Developers,15-1131.00,Computer Programmers,8
15-1134.00,Web Developers,15-1151.00,Computer User Support Specialists,9
15-1134.00,Web Developers,43-9011.00,Computer Operators,10
15-1141.00,Database Administrators,15-1121.00,Computer Systems Analysts,1
15-1141.00,Database Administrators,15-1133.00,"Software Developers, Systems Software",2
15-1141.00,Database Administrators,15-1132.00,"Software Developers, Applications",3
15-1141.00,Database Administrators,15-1134.00,Web Developers,4
15-1141.00,Database Administrators,15-1131.00,Computer Programmers,5
15-1141.00,Database Administrators,15-1143.00,Computer Network Architects,6
15-1141.00,Database Administrators,15-1122.00,Information Security Analysts,7
15-1141.00,Database Administrators,15-1199.03,Web Administrators,8
15-1141.00,Database Administrators,19-4061.00,Social Science Research Assistants,9
15-1141.00,Database Administrators,15-1151.00,Computer User Support Specialists,10
15-1142.00,Network and Computer Systems Administrators,15-1143.00,Computer Network Architects,1
15-1142.00,Network and Computer Systems Administrators,15-1121.00,Computer Systems Analysts,2
15-1142.00,Network and Computer Systems Administrators,15-1141.00,Database Administrators,3
15-1142.00,Network and Computer Systems Administrators,15-1132.00,"Software Developers, Applications",4
15-1142.00,Network and Computer Systems Administrators,15-1199.02,Computer Systems Engineers/Architects,5
15-1142.00,Network and Computer Systems Administrators,15-1133.00,"Software Developers, Systems Software",6
15-1142.00,Network and Computer Systems Administrators,15-1151.00,Computer User Support Specialists,7
15-1142.00,Network and Computer Systems Administrators,15-1122.00,Information Security Analysts,8
15-1142.00,Network and Computer Systems Administrators,43-9011.00,Computer Operators,9
15-1142.00,Network and Computer Systems Administrators,15-1199.03,Web Administrators,10
15-1143.00,Computer Network Architects,15-1199.02,Computer Systems Engineers/Architects,1
15-1143.00,Computer Network Architects,15-1121.00,Computer Systems Analysts,2
15-1143.00,Computer Network Architects,15-1142.00,Network and Computer Systems Administrators,3
15-1143.00,Computer Network Architects,15-1133.00,"Software Developers, Systems Software",4
15-1143.00,Computer Network Architects,15-1122.00,Information Security Analysts,5
15-1143.00,Computer Network Architects,17-2061.00,Computer Hardware Engineers,6
15-1143.00,Computer Network Architects,17-2072.00,"Electronics Engineers, Except Computer",7
15-1143.00,Computer Network Architects,15-1141.00,Database Administrators,8
15-1143.00,Computer Network Architects,15-1132.00,"Software Developers, Applications",9
15-1143.00,Computer Network Architects,11-3021.00,Computer and Information Systems Managers,10
15-1151.00,Computer User Support Specialists,43-9011.00,Computer Operators,1
15-1151.00,Computer User Support Specialists,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",2
15-1151.00,Computer User Support Specialists,27-4011.00,Audio and Video Equipment Technicians,3
15-1151.00,Computer User Support Specialists,25-9011.00,Audio-Visual and Multimedia Collections Specialists,4
15-1151.00,Computer User Support Specialists,27-4012.00,Broadcast Technicians,5
15-1151.00,Computer User Support Specialists,27-4014.00,Sound Engineering Technicians,6
15-1151.00,Computer User Support Specialists,17-3023.03,Electrical Engineering Technicians,7
15-1151.00,Computer User Support Specialists,15-1199.03,Web Administrators,8
15-1151.00,Computer User Support Specialists,43-9031.00,Desktop Publishers,9
15-1151.00,Computer User Support Specialists,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,10
15-1199.01,Software Quality Assurance Engineers and Testers,15-1121.00,Computer Systems Analysts,1
15-1199.01,Software Quality Assurance Engineers and Testers,15-1133.00,"Software Developers, Systems Software",2
15-1199.01,Software Quality Assurance Engineers and Testers,15-1132.00,"Software Developers, Applications",3
15-1199.01,Software Quality Assurance Engineers and Testers,15-1199.02,Computer Systems Engineers/Architects,4
15-1199.01,Software Quality Assurance Engineers and Testers,15-1141.00,Database Administrators,5
15-1199.01,Software Quality Assurance Engineers and Testers,15-1122.00,Information Security Analysts,6
15-1199.01,Software Quality Assurance Engineers and Testers,15-1199.03,Web Administrators,7
15-1199.01,Software Quality Assurance Engineers and Testers,15-1131.00,Computer Programmers,8
15-1199.01,Software Quality Assurance Engineers and Testers,15-1134.00,Web Developers,9
15-1199.01,Software Quality Assurance Engineers and Testers,15-1143.00,Computer Network Architects,10
15-1199.02,Computer Systems Engineers/Architects,15-1143.00,Computer Network Architects,1
15-1199.02,Computer Systems Engineers/Architects,15-1133.00,"Software Developers, Systems Software",2
15-1199.02,Computer Systems Engineers/Architects,15-1121.00,Computer Systems Analysts,3
15-1199.02,Computer Systems Engineers/Architects,15-1199.01,Software Quality Assurance Engineers and Testers,4
15-1199.02,Computer Systems Engineers/Architects,15-1122.00,Information Security Analysts,5
15-1199.02,Computer Systems Engineers/Architects,15-1132.00,"Software Developers, Applications",6
15-1199.02,Computer Systems Engineers/Architects,11-3021.00,Computer and Information Systems Managers,7
15-1199.02,Computer Systems Engineers/Architects,17-2061.00,Computer Hardware Engineers,8
15-1199.02,Computer Systems Engineers/Architects,13-1081.01,Logistics Engineers,9
15-1199.02,Computer Systems Engineers/Architects,15-1199.03,Web Administrators,10
15-1199.03,Web Administrators,15-1134.00,Web Developers,1
15-1199.03,Web Administrators,15-1133.00,"Software Developers, Systems Software",2
15-1199.03,Web Administrators,15-1121.00,Computer Systems Analysts,3
15-1199.03,Web Administrators,15-1151.00,Computer User Support Specialists,4
15-1199.03,Web Administrators,15-1122.00,Information Security Analysts,5
15-1199.03,Web Administrators,43-9031.00,Desktop Publishers,6
15-1199.03,Web Administrators,15-1141.00,Database Administrators,7
15-1199.03,Web Administrators,43-9011.00,Computer Operators,8
15-1199.03,Web Administrators,15-1131.00,Computer Programmers,9
15-1199.03,Web Administrators,19-4061.00,Social Science Research Assistants,10
15-1199.04,Geospatial Information Scientists and Technologists,15-1199.05,Geographic Information Systems Technicians,1
15-1199.04,Geospatial Information Scientists and Technologists,19-2099.01,Remote Sensing Scientists and Technologists,2
15-1199.04,Geospatial Information Scientists and Technologists,13-1161.00,Market Research Analysts and Marketing Specialists,3
15-1199.04,Geospatial Information Scientists and Technologists,19-3099.01,Transportation Planners,4
15-1199.04,Geospatial Information Scientists and Technologists,13-1081.02,Logistics Analysts,5
15-1199.04,Geospatial Information Scientists and Technologists,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",6
15-1199.04,Geospatial Information Scientists and Technologists,15-1133.00,"Software Developers, Systems Software",7
15-1199.04,Geospatial Information Scientists and Technologists,13-1051.00,Cost Estimators,8
15-1199.04,Geospatial Information Scientists and Technologists,15-1122.00,Information Security Analysts,9
15-1199.04,Geospatial Information Scientists and Technologists,19-4061.01,City and Regional Planning Aides,10
15-1199.05,Geographic Information Systems Technicians,15-1199.04,Geospatial Information Scientists and Technologists,1
15-1199.05,Geographic Information Systems Technicians,17-1021.00,Cartographers and Photogrammetrists,2
15-1199.05,Geographic Information Systems Technicians,15-1133.00,"Software Developers, Systems Software",3
15-1199.05,Geographic Information Systems Technicians,19-2099.01,Remote Sensing Scientists and Technologists,4
15-1199.05,Geographic Information Systems Technicians,17-3031.02,Mapping Technicians,5
15-1199.05,Geographic Information Systems Technicians,15-1131.00,Computer Programmers,6
15-1199.05,Geographic Information Systems Technicians,19-4061.00,Social Science Research Assistants,7
15-1199.05,Geographic Information Systems Technicians,15-1141.00,Database Administrators,8
15-1199.05,Geographic Information Systems Technicians,19-4041.01,Geophysical Data Technicians,9
15-1199.05,Geographic Information Systems Technicians,19-4061.01,City and Regional Planning Aides,10
15-2011.00,Actuaries,13-2099.02,Risk Management Specialists,1
15-2011.00,Actuaries,13-2011.02,Auditors,2
15-2011.00,Actuaries,13-1161.00,Market Research Analysts and Marketing Specialists,3
15-2011.00,Actuaries,13-2051.00,Financial Analysts,4
15-2011.00,Actuaries,11-3111.00,Compensation and Benefits Managers,5
15-2011.00,Actuaries,13-2061.00,Financial Examiners,6
15-2011.00,Actuaries,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",7
15-2011.00,Actuaries,13-2031.00,Budget Analysts,8
15-2011.00,Actuaries,19-3022.00,Survey Researchers,9
15-2011.00,Actuaries,13-1051.00,Cost Estimators,10
15-2021.00,Mathematicians,15-2031.00,Operations Research Analysts,1
15-2021.00,Mathematicians,15-2041.01,Biostatisticians,2
15-2021.00,Mathematicians,19-2011.00,Astronomers,3
15-2021.00,Mathematicians,15-2041.00,Statisticians,4
15-2021.00,Mathematicians,19-3011.00,Economists,5
15-2021.00,Mathematicians,19-2099.01,Remote Sensing Scientists and Technologists,6
15-2021.00,Mathematicians,25-1022.00,"Mathematical Science Teachers, Postsecondary",7
15-2021.00,Mathematicians,25-1021.00,"Computer Science Teachers, Postsecondary",8
15-2021.00,Mathematicians,19-2012.00,Physicists,9
15-2021.00,Mathematicians,19-3022.00,Survey Researchers,10
15-2031.00,Operations Research Analysts,15-2041.01,Biostatisticians,1
15-2031.00,Operations Research Analysts,19-3011.00,Economists,2
15-2031.00,Operations Research Analysts,19-3022.00,Survey Researchers,3
15-2031.00,Operations Research Analysts,19-2099.01,Remote Sensing Scientists and Technologists,4
15-2031.00,Operations Research Analysts,15-2021.00,Mathematicians,5
15-2031.00,Operations Research Analysts,15-2041.00,Statisticians,6
15-2031.00,Operations Research Analysts,15-2011.00,Actuaries,7
15-2031.00,Operations Research Analysts,13-1161.00,Market Research Analysts and Marketing Specialists,8
15-2031.00,Operations Research Analysts,13-2099.02,Risk Management Specialists,9
15-2031.00,Operations Research Analysts,13-1051.00,Cost Estimators,10
15-2041.00,Statisticians,15-2041.01,Biostatisticians,1
15-2041.00,Statisticians,15-2031.00,Operations Research Analysts,2
15-2041.00,Statisticians,19-2099.01,Remote Sensing Scientists and Technologists,3
15-2041.00,Statisticians,15-2021.00,Mathematicians,4
15-2041.00,Statisticians,19-3011.00,Economists,5
15-2041.00,Statisticians,19-4061.00,Social Science Research Assistants,6
15-2041.00,Statisticians,15-2041.02,Clinical Data Managers,7
15-2041.00,Statisticians,13-1161.00,Market Research Analysts and Marketing Specialists,8
15-2041.00,Statisticians,25-1063.00,"Economics Teachers, Postsecondary",9
15-2041.00,Statisticians,19-3022.00,Survey Researchers,10
15-2041.01,Biostatisticians,15-2041.00,Statisticians,1
15-2041.01,Biostatisticians,15-2031.00,Operations Research Analysts,2
15-2041.01,Biostatisticians,19-3011.00,Economists,3
15-2041.01,Biostatisticians,15-2021.00,Mathematicians,4
15-2041.01,Biostatisticians,19-3022.00,Survey Researchers,5
15-2041.01,Biostatisticians,19-1041.00,Epidemiologists,6
15-2041.01,Biostatisticians,19-2099.01,Remote Sensing Scientists and Technologists,7
15-2041.01,Biostatisticians,19-3041.00,Sociologists,8
15-2041.01,Biostatisticians,15-2041.02,Clinical Data Managers,9
15-2041.01,Biostatisticians,15-2011.00,Actuaries,10
15-2041.02,Clinical Data Managers,13-1041.07,Regulatory Affairs Specialists,1
15-2041.02,Clinical Data Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2
15-2041.02,Clinical Data Managers,19-4061.00,Social Science Research Assistants,3
15-2041.02,Clinical Data Managers,13-2053.00,Insurance Underwriters,4
15-2041.02,Clinical Data Managers,13-2041.00,Credit Analysts,5
15-2041.02,Clinical Data Managers,13-1161.00,Market Research Analysts and Marketing Specialists,6
15-2041.02,Clinical Data Managers,15-1131.00,Computer Programmers,7
15-2041.02,Clinical Data Managers,11-9121.01,Clinical Research Coordinators,8
15-2041.02,Clinical Data Managers,15-1141.00,Database Administrators,9
15-2041.02,Clinical Data Managers,43-9111.00,Statistical Assistants,10
17-1011.00,"Architects, Except Landscape and Naval",11-9041.00,Architectural and Engineering Managers,1
17-1011.00,"Architects, Except Landscape and Naval",17-2051.00,Civil Engineers,2
17-1011.00,"Architects, Except Landscape and Naval",27-1025.00,Interior Designers,3
17-1011.00,"Architects, Except Landscape and Naval",25-1031.00,"Architecture Teachers, Postsecondary",4
17-1011.00,"Architects, Except Landscape and Naval",11-9021.00,Construction Managers,5
17-1011.00,"Architects, Except Landscape and Naval",19-3051.00,Urban and Regional Planners,6
17-1011.00,"Architects, Except Landscape and Naval",41-9031.00,Sales Engineers,7
17-1011.00,"Architects, Except Landscape and Naval",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",8
17-1011.00,"Architects, Except Landscape and Naval",11-3071.03,Logistics Managers,9
17-1011.00,"Architects, Except Landscape and Naval",19-1031.01,Soil and Water Conservationists,10
17-1012.00,Landscape Architects,27-1025.00,Interior Designers,1
17-1012.00,Landscape Architects,17-1011.00,"Architects, Except Landscape and Naval",2
17-1012.00,Landscape Architects,17-2051.00,Civil Engineers,3
17-1012.00,Landscape Architects,19-3099.01,Transportation Planners,4
17-1012.00,Landscape Architects,19-1031.01,Soil and Water Conservationists,5
17-1012.00,Landscape Architects,19-1031.02,Range Managers,6
17-1012.00,Landscape Architects,25-1031.00,"Architecture Teachers, Postsecondary",7
17-1012.00,Landscape Architects,19-4061.01,City and Regional Planning Aides,8
17-1012.00,Landscape Architects,11-9021.00,Construction Managers,9
17-1012.00,Landscape Architects,11-9041.00,Architectural and Engineering Managers,10
17-1021.00,Cartographers and Photogrammetrists,17-3031.02,Mapping Technicians,1
17-1021.00,Cartographers and Photogrammetrists,15-1199.05,Geographic Information Systems Technicians,2
17-1021.00,Cartographers and Photogrammetrists,15-1131.00,Computer Programmers,3
17-1021.00,Cartographers and Photogrammetrists,15-1133.00,"Software Developers, Systems Software",4
17-1021.00,Cartographers and Photogrammetrists,17-3011.01,Architectural Drafters,5
17-1021.00,Cartographers and Photogrammetrists,15-1141.00,Database Administrators,6
17-1021.00,Cartographers and Photogrammetrists,15-1199.04,Geospatial Information Scientists and Technologists,7
17-1021.00,Cartographers and Photogrammetrists,17-3011.02,Civil Drafters,8
17-1021.00,Cartographers and Photogrammetrists,19-4041.01,Geophysical Data Technicians,9
17-1021.00,Cartographers and Photogrammetrists,19-4061.00,Social Science Research Assistants,10
17-1022.00,Surveyors,17-1022.01,Geodetic Surveyors,1
17-1022.00,Surveyors,19-1031.01,Soil and Water Conservationists,2
17-1022.00,Surveyors,17-3031.01,Surveying Technicians,3
17-1022.00,Surveyors,19-4091.00,"Environmental Science and Protection Technicians, Including Health",4
17-1022.00,Surveyors,17-3025.00,Environmental Engineering Technicians,5
17-1022.00,Surveyors,19-4093.00,Forest and Conservation Technicians,6
17-1022.00,Surveyors,17-2051.00,Civil Engineers,7
17-1022.00,Surveyors,11-9021.00,Construction Managers,8
17-1022.00,Surveyors,19-4099.02,Precision Agriculture Technicians,9
17-1022.00,Surveyors,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,10
17-1022.01,Geodetic Surveyors,17-1022.00,Surveyors,1
17-1022.01,Geodetic Surveyors,19-1031.01,Soil and Water Conservationists,2
17-1022.01,Geodetic Surveyors,19-4091.00,"Environmental Science and Protection Technicians, Including Health",3
17-1022.01,Geodetic Surveyors,17-3031.01,Surveying Technicians,4
17-1022.01,Geodetic Surveyors,17-3025.00,Environmental Engineering Technicians,5
17-1022.01,Geodetic Surveyors,19-4041.01,Geophysical Data Technicians,6
17-1022.01,Geodetic Surveyors,13-1081.02,Logistics Analysts,7
17-1022.01,Geodetic Surveyors,19-4099.02,Precision Agriculture Technicians,8
17-1022.01,Geodetic Surveyors,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",9
17-1022.01,Geodetic Surveyors,19-4041.02,Geological Sample Test Technicians,10
17-2011.00,Aerospace Engineers,17-2071.00,Electrical Engineers,1
17-2011.00,Aerospace Engineers,17-2141.00,Mechanical Engineers,2
17-2011.00,Aerospace Engineers,17-2199.02,Validation Engineers,3
17-2011.00,Aerospace Engineers,17-2199.03,Energy Engineers,4
17-2011.00,Aerospace Engineers,17-2111.03,Product Safety Engineers,5
17-2011.00,Aerospace Engineers,13-1081.01,Logistics Engineers,6
17-2011.00,Aerospace Engineers,17-2111.02,Fire-Prevention and Protection Engineers,7
17-2011.00,Aerospace Engineers,17-2161.00,Nuclear Engineers,8
17-2011.00,Aerospace Engineers,17-2131.00,Materials Engineers,9
17-2011.00,Aerospace Engineers,17-2072.00,"Electronics Engineers, Except Computer",10
17-2021.00,Agricultural Engineers,17-2199.03,Energy Engineers,1
17-2021.00,Agricultural Engineers,19-2043.00,Hydrologists,2
17-2021.00,Agricultural Engineers,17-2051.00,Civil Engineers,3
17-2021.00,Agricultural Engineers,17-2041.00,Chemical Engineers,4
17-2021.00,Agricultural Engineers,17-2081.00,Environmental Engineers,5
17-2021.00,Agricultural Engineers,17-2111.02,Fire-Prevention and Protection Engineers,6
17-2021.00,Agricultural Engineers,17-2111.01,Industrial Safety and Health Engineers,7
17-2021.00,Agricultural Engineers,19-1012.00,Food Scientists and Technologists,8
17-2021.00,Agricultural Engineers,19-1031.01,Soil and Water Conservationists,9
17-2021.00,Agricultural Engineers,17-2199.01,Biochemical Engineers,10
17-2031.00,Biomedical Engineers,17-2199.07,Photonics Engineers,1
17-2031.00,Biomedical Engineers,17-2199.01,Biochemical Engineers,2
17-2031.00,Biomedical Engineers,17-2041.00,Chemical Engineers,3
17-2031.00,Biomedical Engineers,17-3029.06,Manufacturing Engineering Technologists,4
17-2031.00,Biomedical Engineers,13-1081.01,Logistics Engineers,5
17-2031.00,Biomedical Engineers,19-1021.00,Biochemists and Biophysicists,6
17-2031.00,Biomedical Engineers,17-2199.02,Validation Engineers,7
17-2031.00,Biomedical Engineers,19-1012.00,Food Scientists and Technologists,8
17-2031.00,Biomedical Engineers,17-2021.00,Agricultural Engineers,9
17-2031.00,Biomedical Engineers,17-2081.00,Environmental Engineers,10
17-2041.00,Chemical Engineers,17-2111.02,Fire-Prevention and Protection Engineers,1
17-2041.00,Chemical Engineers,17-2021.00,Agricultural Engineers,2
17-2041.00,Chemical Engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3
17-2041.00,Chemical Engineers,17-2199.03,Energy Engineers,4
17-2041.00,Chemical Engineers,17-2199.01,Biochemical Engineers,5
17-2041.00,Chemical Engineers,17-2111.01,Industrial Safety and Health Engineers,6
17-2041.00,Chemical Engineers,13-1081.01,Logistics Engineers,7
17-2041.00,Chemical Engineers,17-2081.00,Environmental Engineers,8
17-2041.00,Chemical Engineers,19-1012.00,Food Scientists and Technologists,9
17-2041.00,Chemical Engineers,29-9011.00,Occupational Health and Safety Specialists,10
17-2051.00,Civil Engineers,17-2051.01,Transportation Engineers,1
17-2051.00,Civil Engineers,17-2111.02,Fire-Prevention and Protection Engineers,2
17-2051.00,Civil Engineers,17-2199.03,Energy Engineers,3
17-2051.00,Civil Engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4
17-2051.00,Civil Engineers,17-2081.00,Environmental Engineers,5
17-2051.00,Civil Engineers,17-2021.00,Agricultural Engineers,6
17-2051.00,Civil Engineers,13-1081.01,Logistics Engineers,7
17-2051.00,Civil Engineers,11-9021.00,Construction Managers,8
17-2051.00,Civil Engineers,11-9041.00,Architectural and Engineering Managers,9
17-2051.00,Civil Engineers,19-1031.01,Soil and Water Conservationists,10
17-2051.01,Transportation Engineers,17-2051.00,Civil Engineers,1
17-2051.01,Transportation Engineers,17-2111.02,Fire-Prevention and Protection Engineers,2
17-2051.01,Transportation Engineers,13-1081.01,Logistics Engineers,3
17-2051.01,Transportation Engineers,17-2199.03,Energy Engineers,4
17-2051.01,Transportation Engineers,19-3099.01,Transportation Planners,5
17-2051.01,Transportation Engineers,11-9041.00,Architectural and Engineering Managers,6
17-2051.01,Transportation Engineers,13-1081.02,Logistics Analysts,7
17-2051.01,Transportation Engineers,11-9021.00,Construction Managers,8
17-2051.01,Transportation Engineers,11-3071.03,Logistics Managers,9
17-2051.01,Transportation Engineers,13-1051.00,Cost Estimators,10
17-2061.00,Computer Hardware Engineers,15-1133.00,"Software Developers, Systems Software",1
17-2061.00,Computer Hardware Engineers,15-1143.00,Computer Network Architects,2
17-2061.00,Computer Hardware Engineers,15-1199.02,Computer Systems Engineers/Architects,3
17-2061.00,Computer Hardware Engineers,15-1141.00,Database Administrators,4
17-2061.00,Computer Hardware Engineers,15-1121.00,Computer Systems Analysts,5
17-2061.00,Computer Hardware Engineers,15-1122.00,Information Security Analysts,6
17-2061.00,Computer Hardware Engineers,17-2071.00,Electrical Engineers,7
17-2061.00,Computer Hardware Engineers,15-1199.01,Software Quality Assurance Engineers and Testers,8
17-2061.00,Computer Hardware Engineers,15-1132.00,"Software Developers, Applications",9
17-2061.00,Computer Hardware Engineers,17-2072.00,"Electronics Engineers, Except Computer",10
17-2071.00,Electrical Engineers,17-2011.00,Aerospace Engineers,1
17-2071.00,Electrical Engineers,17-2141.00,Mechanical Engineers,2
17-2071.00,Electrical Engineers,17-2072.00,"Electronics Engineers, Except Computer",3
17-2071.00,Electrical Engineers,17-2199.07,Photonics Engineers,4
17-2071.00,Electrical Engineers,13-1081.01,Logistics Engineers,5
17-2071.00,Electrical Engineers,17-2199.02,Validation Engineers,6
17-2071.00,Electrical Engineers,17-2199.03,Energy Engineers,7
17-2071.00,Electrical Engineers,17-2111.02,Fire-Prevention and Protection Engineers,8
17-2071.00,Electrical Engineers,17-2112.00,Industrial Engineers,9
17-2071.00,Electrical Engineers,17-2061.00,Computer Hardware Engineers,10
17-2072.00,"Electronics Engineers, Except Computer",17-2199.07,Photonics Engineers,1
17-2072.00,"Electronics Engineers, Except Computer",17-2071.00,Electrical Engineers,2
17-2072.00,"Electronics Engineers, Except Computer",13-1081.01,Logistics Engineers,3
17-2072.00,"Electronics Engineers, Except Computer",17-3029.06,Manufacturing Engineering Technologists,4
17-2072.00,"Electronics Engineers, Except Computer",15-1199.02,Computer Systems Engineers/Architects,5
17-2072.00,"Electronics Engineers, Except Computer",17-3021.00,Aerospace Engineering and Operations Technicians,6
17-2072.00,"Electronics Engineers, Except Computer",17-2011.00,Aerospace Engineers,7
17-2072.00,"Electronics Engineers, Except Computer",17-3029.04,Electronics Engineering Technologists,8
17-2072.00,"Electronics Engineers, Except Computer",17-2199.08,Robotics Engineers,9
17-2072.00,"Electronics Engineers, Except Computer",17-2112.00,Industrial Engineers,10
17-2081.00,Environmental Engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1
17-2081.00,Environmental Engineers,17-2199.03,Energy Engineers,2
17-2081.00,Environmental Engineers,17-2111.02,Fire-Prevention and Protection Engineers,3
17-2081.00,Environmental Engineers,17-2051.00,Civil Engineers,4
17-2081.00,Environmental Engineers,19-2041.00,"Environmental Scientists and Specialists, Including Health",5
17-2081.00,Environmental Engineers,17-2021.00,Agricultural Engineers,6
17-2081.00,Environmental Engineers,19-2043.00,Hydrologists,7
17-2081.00,Environmental Engineers,17-2121.01,Marine Engineers,8
17-2081.00,Environmental Engineers,19-1031.01,Soil and Water Conservationists,9
17-2081.00,Environmental Engineers,17-2041.00,Chemical Engineers,10
17-2111.01,Industrial Safety and Health Engineers,29-9011.00,Occupational Health and Safety Specialists,1
17-2111.01,Industrial Safety and Health Engineers,17-2041.00,Chemical Engineers,2
17-2111.01,Industrial Safety and Health Engineers,17-2021.00,Agricultural Engineers,3
17-2111.01,Industrial Safety and Health Engineers,19-1012.00,Food Scientists and Technologists,4
17-2111.01,Industrial Safety and Health Engineers,17-2199.03,Energy Engineers,5
17-2111.01,Industrial Safety and Health Engineers,17-2081.00,Environmental Engineers,6
17-2111.01,Industrial Safety and Health Engineers,19-1031.01,Soil and Water Conservationists,7
17-2111.01,Industrial Safety and Health Engineers,29-9012.00,Occupational Health and Safety Technicians,8
17-2111.01,Industrial Safety and Health Engineers,11-9161.00,Emergency Management Directors,9
17-2111.01,Industrial Safety and Health Engineers,13-1041.01,Environmental Compliance Inspectors,10
17-2111.02,Fire-Prevention and Protection Engineers,17-2199.03,Energy Engineers,1
17-2111.02,Fire-Prevention and Protection Engineers,17-2051.00,Civil Engineers,2
17-2111.02,Fire-Prevention and Protection Engineers,17-2081.00,Environmental Engineers,3
17-2111.02,Fire-Prevention and Protection Engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4
17-2111.02,Fire-Prevention and Protection Engineers,17-2051.01,Transportation Engineers,5
17-2111.02,Fire-Prevention and Protection Engineers,13-1081.01,Logistics Engineers,6
17-2111.02,Fire-Prevention and Protection Engineers,17-2041.00,Chemical Engineers,7
17-2111.02,Fire-Prevention and Protection Engineers,17-2111.03,Product Safety Engineers,8
17-2111.02,Fire-Prevention and Protection Engineers,11-9021.00,Construction Managers,9
17-2111.02,Fire-Prevention and Protection Engineers,29-9011.00,Occupational Health and Safety Specialists,10
17-2111.03,Product Safety Engineers,17-2199.02,Validation Engineers,1
17-2111.03,Product Safety Engineers,17-2199.03,Energy Engineers,2
17-2111.03,Product Safety Engineers,17-2111.02,Fire-Prevention and Protection Engineers,3
17-2111.03,Product Safety Engineers,17-2011.00,Aerospace Engineers,4
17-2111.03,Product Safety Engineers,17-2071.00,Electrical Engineers,5
17-2111.03,Product Safety Engineers,29-9011.00,Occupational Health and Safety Specialists,6
17-2111.03,Product Safety Engineers,17-2131.00,Materials Engineers,7
17-2111.03,Product Safety Engineers,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",8
17-2111.03,Product Safety Engineers,13-1041.01,Environmental Compliance Inspectors,9
17-2111.03,Product Safety Engineers,17-2112.00,Industrial Engineers,10
17-2112.00,Industrial Engineers,17-2199.02,Validation Engineers,1
17-2112.00,Industrial Engineers,17-3026.00,Industrial Engineering Technicians,2
17-2112.00,Industrial Engineers,17-2131.00,Materials Engineers,3
17-2112.00,Industrial Engineers,17-2071.00,Electrical Engineers,4
17-2112.00,Industrial Engineers,17-2199.03,Energy Engineers,5
17-2112.00,Industrial Engineers,17-2141.00,Mechanical Engineers,6
17-2112.00,Industrial Engineers,17-3029.06,Manufacturing Engineering Technologists,7
17-2112.00,Industrial Engineers,13-1081.02,Logistics Analysts,8
17-2112.00,Industrial Engineers,17-2111.03,Product Safety Engineers,9
17-2112.00,Industrial Engineers,17-2111.02,Fire-Prevention and Protection Engineers,10
17-2121.01,Marine Engineers,17-2199.03,Energy Engineers,1
17-2121.01,Marine Engineers,17-2111.02,Fire-Prevention and Protection Engineers,2
17-2121.01,Marine Engineers,17-2051.00,Civil Engineers,3
17-2121.01,Marine Engineers,17-2081.00,Environmental Engineers,4
17-2121.01,Marine Engineers,17-2199.04,Manufacturing Engineers,5
17-2121.01,Marine Engineers,13-1081.01,Logistics Engineers,6
17-2121.01,Marine Engineers,17-3029.06,Manufacturing Engineering Technologists,7
